# V	dV	K	dK	T	dT	P	dP	D	dD
-3.29753e-19	6.7557e-20	6.65754e-19	4.43105e-20	297.656	19.8111	8.56795e+07	7.45699e+06	1.256e-08	2.30956e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.00129e-19	6.96375e-20	6.48793e-19	4.47274e-20	290.073	19.9975	8.36377e+07	7.23714e+06	1.27296e-08	2.25119e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.11731e-19	7.96892e-20	6.30277e-19	4.31303e-20	281.795	19.2834	8.12025e+07	7.37329e+06	1.33345e-08	2.03387e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.10564e-19	7.42762e-20	6.56571e-19	4.31392e-20	293.551	19.2874	8.33293e+07	7.56984e+06	1.27181e-08	1.47699e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.17679e-19	7.28855e-20	6.48611e-19	4.3668e-20	289.992	19.5238	8.42389e+07	6.46601e+06	1.2431e-08	1.20495e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.13818e-19	7.12358e-20	6.83982e-19	4.50635e-20	305.806	20.1478	8.76867e+07	7.66037e+06	1.23e-08	1.78968e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.18356e-19	6.51005e-20	6.22259e-19	4.07259e-20	278.21	18.2084	8.06036e+07	6.89298e+06	1.16541e-08	1.77697e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.14627e-19	7.14757e-20	6.77339e-19	3.70914e-20	302.836	16.5835	8.72422e+07	6.59014e+06	1.21251e-08	1.91481e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.0788e-19	7.74117e-20	7.06096e-19	5.2187e-20	315.693	23.3327	9.12193e+07	7.52493e+06	1.13615e-08	1.88777e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.11616e-19	6.7279e-20	6.8637e-19	4.38136e-20	306.874	19.5889	8.81245e+07	7.56496e+06	1.1923e-08	1.33472e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-2.99956e-19	7.48759e-20	6.9083e-19	4.49657e-20	308.868	20.104	8.83057e+07	7.84111e+06	1.40352e-08	1.69258e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.19618e-19	7.12684e-20	7.016e-19	4.39236e-20	313.683	19.6381	8.98074e+07	7.38961e+06	1.27373e-08	1.84825e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.17182e-19	7.0373e-20	6.83333e-19	4.08448e-20	305.516	18.2616	8.80444e+07	7.001e+06	1.28965e-08	2.60712e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.09548e-19	7.5427e-20	6.85764e-19	4.24666e-20	306.603	18.9867	8.75171e+07	7.02963e+06	1.14253e-08	1.36731e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.2932e-19	7.4698e-20	6.6847e-19	4.24988e-20	298.871	19.0011	8.47776e+07	7.55301e+06	1.35522e-08	1.97301e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.07068e-19	7.48979e-20	7.13152e-19	4.18605e-20	318.848	18.7157	9.18103e+07	7.59402e+06	1.2824e-08	2.12828e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.11611e-19	8.11665e-20	7.37503e-19	5.60509e-20	329.735	25.0602	9.51487e+07	8.66346e+06	1.32349e-08	1.48189e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.19129e-19	7.00477e-20	7.22336e-19	4.66573e-20	322.954	20.8603	9.16686e+07	8.03931e+06	1.35866e-08	2.14928e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.21345e-19	7.87361e-20	7.44444e-19	5.61333e-20	332.839	25.0971	9.63289e+07	8.48392e+06	1.30854e-08	1.98706e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.08751e-19	7.93274e-20	6.91102e-19	4.58886e-20	308.99	20.5167	8.87795e+07	7.48401e+06	1.37263e-08	1.73834e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.04862e-19	7.06423e-20	7.71713e-19	4.27695e-20	345.031	19.1221	9.9816e+07	7.31889e+06	1.28638e-08	1.62685e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.3129e-19	7.18243e-20	7.4409e-19	4.59844e-20	332.68	20.5595	9.54063e+07	7.75858e+06	1.17494e-08	1.53324e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.1011e-19	7.20302e-20	7.34747e-19	5.37401e-20	328.503	24.0271	9.35925e+07	8.60951e+06	1.32433e-08	2.01889e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.17266e-19	7.33098e-20	7.44818e-19	4.43835e-20	333.006	19.8437	9.59777e+07	7.67226e+06	1.26565e-08	2.08498e-09
# V	dV	K	dK	T	dT	P	dP	D	dD
-3.25523e-19	7.32513e-20	7.01675e-19	4.13486e-20	313.717	18.4868	9.04596e+07	7.21607e+06	1.34334e-08	2.40151e-09
